# Shapefile used for extraction: wshedpoly_wgs84.shp
# 406000 is data from 406225 used to represent rainfall into dam
# Source files used to generate dataset:
# wvap_combined.nc
# pr_combined.nc
Date,406265_rain,406265_evap,406202_rain,406202_evap,406218_rain,406218_evap,406224_rain,406224_evap,406201_rain,406201_evap,406214_rain,406214_evap,406219_rain,406219_evap,406000_rain,406000_evap
15/05/1986,0,1.665492315,0,1.617788898,3.17E-05,1.590089484,0.000655096,1.569664997,0.000786317,1.521438702,0.000241585,1.4777409,0.028947077,1.438864707,0.000394914,1.509412497
16/05/1986,2.122423392,1.474330783,3.292162975,1.471344458,3.961790662,1.428815785,4.383114111,1.424575007,4.576879671,1.378964516,5.254258698,1.351845454,6.588683549,1.31505,4.659307957,1.362887502
17/05/1986,4.526300907,1.706407685,4.475034025,1.674466663,4.108133153,1.652068414,4.670294917,1.627549994,4.150706537,1.631122578,2.963436181,1.639918186,3.823865267,1.564962751,4.849704921,1.618962482
18/05/1986,1.876661291,1.424676932,3.144396199,1.371355547,4.16861686,1.347963151,4.869197488,1.315509999,4.74204448,1.293429025,4.108547698,1.257554542,6.596292816,1.244667645,5.105958164,1.284462497
19/05/1986,3.928975839,1.462092299,5.6936219,1.4193111,5.089452116,1.394047367,4.851183891,1.39878,4.085798325,1.371577413,5.02497621,1.336131811,6.607142257,1.337384312,4.05037412,1.381412491
20/05/1986,1.848301475,1.501753844,2.439994891,1.49958886,2.535828201,1.489815781,2.664037383,1.477255011,3.470591045,1.479816141,5.727363933,1.455086372,3.419376769,1.350823527,2.99998033,1.458525017
21/05/1986,0.021597298,1.226476926,0.002874309,1.22966667,0.000492123,1.256521043,0.007868613,1.255409998,0.009600997,1.276083869,0.004492735,1.277700007,0.198433733,1.249800002,0.057310074,1.275187492
22/05/1986,0.813914427,1.582961541,0.748770065,1.544833329,0.732911734,1.539600002,0.798512939,1.523780006,1.137612802,1.518051617,1.543441824,1.490663637,1.221487779,1.426918628,1.367943689,1.503824994
23/05/1986,1.661805822,1.149476913,0.738439451,1.144699984,0.429194795,1.165805265,0.432586317,1.176740003,0.311675329,1.206745167,0.421949246,1.203713634,1.219685471,1.204164703,0.502152984,1.217412516
24/05/1986,16.31623408,1.521638458,17.38987139,1.493000004,18.05477955,1.471168424,19.86561241,1.458200008,21.04421093,1.426087106,23.89260119,1.376277273,21.83648916,1.333654902,21.87927437,1.403325006
25/05/1986,0.029082644,1.347707693,0.00754451,1.324066665,0.000949272,1.306668426,9.05E-05,1.293620008,0,1.28103227,0.002748945,1.256890915,0.023936175,1.229056863,0,1.276325002
26/05/1986,0.028180296,1.310476917,0.046902646,1.296100007,0.028818906,1.289273689,0.038477006,1.28212499,0.003020249,1.274541939,0,1.254877275,0.003793428,1.23197745,0,1.266112506
27/05/1986,0.037484601,1.272892301,0.019269866,1.238822222,0.013490622,1.22578422,0.011452796,1.209455001,0.004262171,1.213622578,0.000334093,1.21181818,0.002203721,1.207340204,0.000489921,1.2089625
28/05/1986,0.703204017,1.308215407,0.466557182,1.316122227,0.188688537,1.312415794,0.090145375,1.316280013,0.006813229,1.31271613,0.00056436,1.290040905,0.003183222,1.276615689,0,1.313150004
29/05/1986,0,1.325399986,0.000551381,1.303377774,0.00109903,1.288952627,0.00171609,1.277490008,0.00100154,1.262416124,0.000584233,1.24118637,0.060105307,1.198652937,0,1.257562503
30/05/1986,0.020854952,1.267684606,0.004518719,1.248300009,0.000846272,1.240110529,0.00021249,1.228499985,0.000467402,1.219667731,0.007218374,1.203749987,0.067221405,1.151915683,0,1.205487505
31/05/1986,0.020792773,1.2759077,0.004348134,1.302366667,0.000580141,1.289057895,0.000192148,1.280439991,0.01805635,1.247941936,0.070176759,1.219754533,0.081568021,1.176556861,0.019838164,1.232387498
1/06/1986,0.050998807,1.203476915,0.010246946,1.205033342,0.000895056,1.212142104,0,1.210359991,4.00E-07,1.226664512,6.74E-06,1.225190905,3.49E-05,1.190351962,0,1.221999988
2/06/1986,0.025268275,1.154192301,0.005187735,1.152877755,0.000581229,1.148684194,8.22E-06,1.142055005,3.04E-05,1.141732258,2.07E-06,1.128759092,0.055208647,1.103873531,0,1.135937497
3/06/1986,0.000308629,1.19989231,0.0002357,1.218577796,0.000599934,1.223400003,0.000519711,1.222119999,0.000428644,1.22121291,0.034378942,1.196718173,0.101879902,1.153141177,0,1.213612497
4/06/1986,0.00636211,1.164692292,0.011504439,1.132133312,0.018399478,1.128878951,0.030356323,1.124444991,0.045515408,1.133299997,0.093239134,1.111749996,0.127472214,1.110046077,0.055605558,1.14122501
5/06/1986,0.022844332,1.118438455,0.002449451,1.106188893,0.003888963,1.114721054,0.003440066,1.10907501,0.052218307,1.12483871,0.220568191,1.131050018,0.028813682,1.11616863,0.023984345,1.128462523
6/06/1986,7.65E-05,1.205523087,2.45E-05,1.194511096,0.002655361,1.208757896,0.009311201,1.200325,0.015624232,1.205690319,0.025884889,1.195990909,0.149473218,1.141155886,0.04118345,1.186600015
7/06/1986,0.02652921,1.239138466,0.005058756,1.226088895,0.00046859,1.221657891,5.81E-07,1.212625003,0.000250362,1.21648387,0.000726993,1.203731819,0.161767499,1.16129314,0.000686517,1.206949994
8/06/1986,0.000151161,1.213707704,0.000733174,1.188444455,0.038734291,1.185926318,0.084089392,1.173180008,0.254905663,1.163903225,0.530337819,1.134349996,1.175978457,1.096340198,0.440166209,1.148524985
9/06/1986,0.080846006,1.202461536,0.199448243,1.192455583,0.250854272,1.190800008,0.267755433,1.193215001,0.345797566,1.189587101,0.543011613,1.174786373,1.219792287,1.126882354,0.433594309,1.195650011
10/06/1986,0.019100526,1.190523083,0.115586977,1.165033327,0.252469051,1.148294737,0.30697761,1.133585006,0.53335576,1.123174194,0.993722255,1.10263637,2.335963687,1.068699022,0.618107177,1.112562507
11/06/1986,0.00106223,1.083338481,0.000974688,1.072000013,0.001489632,1.083026321,0.008231073,1.096789992,0.011234208,1.102464514,0.00340759,1.075431818,0.1261108,1.06191373,0.061376116,1.122487515
12/06/1986,0.200316498,1.152800001,0.393895384,1.147822221,0.570758972,1.146678943,0.748213288,1.139959991,0.867937401,1.144241925,0.815919518,1.133086367,0.92883567,1.108880391,1.032160096,1.142699972
13/06/1986,0.551789632,1.137130774,0.317549846,1.141555548,0.125893431,1.146689465,0.03093093,1.139469993,0.014628744,1.147664512,0.016552385,1.14084091,0.059856631,1.097869612,0.029402601,1.136387512
14/06/1986,0.050892977,1.157107693,0.010186215,1.150733325,0.011277459,1.14782632,0.019936805,1.138670009,0.03967032,1.137616134,0.026218562,1.123895445,0.014241924,1.065352949,0.048855952,1.125562504
15/06/1986,0,1.209938453,0,1.187722206,0.00291458,1.177457878,0.001235139,1.168270004,0.003329542,1.151932251,0.005646513,1.135240907,0.005290229,1.107587258,0,1.1356875
16/06/1986,0.033412887,1.084546144,0.001379979,1.086388893,0.003687864,1.095636832,0.006620868,1.094639993,0.034527565,1.111799994,0.063179089,1.118509087,0.011943278,1.072655889,0.032032432,1.104237512
17/06/1986,5.795937098,1.144915388,4.080728743,1.114700013,2.925428742,1.116836836,2.980042684,1.110879999,1.759197856,1.111545155,0.900826034,1.097940906,1.037253185,1.063024512,1.560547948,1.095462486
18/06/1986,7.014177616,1.114869237,7.180406464,1.095255534,6.731220873,1.087647356,6.948738861,1.081315005,6.39956239,1.075812901,7.654564034,1.06565909,10.96821061,1.042658827,6.835396707,1.072575003
19/06/1986,0.322150857,1.122176922,0.827395042,1.111099985,1.264420534,1.100115789,1.830939406,1.083259994,1.661608111,1.066322569,1.351495743,1.048868174,3.583144382,1.014089214,1.931251571,1.054912508
20/06/1986,1.86309455,1.077869232,2.502430134,1.066122214,2.224658188,1.055931581,2.323783082,1.045370001,2.212668711,1.038625806,3.402746883,1.021013645,5.179210694,0.978558824,2.569007993,1.026425004
21/06/1986,0.037363975,1.045323078,0.068006277,1.035955575,0.085106147,1.036415803,0.137581145,1.026714993,0.122398029,1.0367129,0.301580534,1.027013638,0.885233911,0.977768632,0.11410132,1.022850007
22/06/1986,0.135869281,1.082115357,0.290203171,1.070455538,0.256854943,1.063673691,0.252102572,1.049335009,0.191929184,1.048677418,0.389037152,1.037763628,2.321345892,0.993763729,0.345206272,1.036125019
23/06/1986,0.159176763,1.04545386,0.036720127,1.037755582,0.002859806,1.040747366,0.004698572,1.03687501,0.021344815,1.045712898,0.073478879,1.040877269,0.772284712,0.997977451,0.099415857,1.038649991
24/06/1986,0.072758753,1.076069217,0.081884667,1.064799998,0.179776674,1.05931053,0.291043308,1.053610003,0.6595372,1.053619346,1.224361016,1.041118172,1.105995527,1.00862746,0.844060771,1.047912523
