Date,Year,Time step,Cumu Total Orders (ML),Farm Orders,Other Orders,Env Orders,TS HR Alloc. (ML),TS LR Alloc. (ML),Cumu. Camp HR Alloc. (ML),Cumu. Camp LR Alloc. (ML),Camp HR Alloc. (%),Camp LR Alloc. (%),Env HR Alloc (ML),Env LR Alloc (ML),Adj HR Alloc (%),Adj LR Alloc (%),GMW Vol (ML),Goulburn HR Alloc. (%),Goulburn LR Alloc. (%),Inflow (ML),Dam Vol (ML),Daily Dam Release (ML),Avail. Carryover (ML),Next Year's Reserves (ML)
1981-07-01,1,1,120.0,0.0,0.0,120.0,31682.8,0.0,31802.8,0.0,100.0,0.0,25716.0,0.0,100.0,0.0,244386.757401,74.0,NA,1805.62713627,297251.003841,147.294224019,0.0,0.0
1981-07-15,1,2,1120.0,0.0,1000.0,0.0,32338.8,0.0,31802.8,0.0,100.0,0.0,25596.0,0.0,100.0,0.0,256934.426682,100.0,NA,0.0,314358.666685,144.035142857,0.0,0.0
1981-07-29,1,3,1120.0,0.0,0.0,0.0,32338.8,0.0,31802.8,0.0,100.0,0.0,25596.0,0.0,100.0,0.0,261366.671076,100.0,NA,0.0,319763.842776,1.178,0.0,0.0
1981-08-12,1,4,1120.0,0.0,0.0,0.0,32338.8,0.0,31802.8,0.0,100.0,0.0,25596.0,0.0,100.0,0.0,266311.485449,100.0,NA,0.0,325794.104206,1.178,0.0,0.0
1981-08-25,1,5,1120.0,0.0,0.0,0.0,32338.8,0.0,31802.8,0.0,100.0,0.0,25596.0,0.0,100.0,0.0,262600.152153,100.0,NA,0.0,321268.087991,1.178,0.0,0.0
1981-08-26,1,6,1120.0,0.0,0.0,0.0,32338.8,0.0,31802.8,0.0,100.0,0.0,25596.0,0.0,100.0,0.0,260333.737705,100.0,NA,0.0,318504.167933,1.178,0.0,0.0
1981-09-09,1,7,1120.0,0.0,0.0,0.0,32338.8,0.0,31802.8,0.0,100.0,0.0,25596.0,0.0,100.0,0.0,253790.332265,100.0,NA,0.0,310524.405202,1.178,0.0,0.0
1981-09-23,1,8,1240.0,0.0,0.0,120.0,32218.8,0.0,31802.8,0.0,100.0,0.0,25596.0,0.0,100.0,0.0,249061.864291,100.0,NA,0.0,304757.980843,18.3208571429,0.0,0.0
1981-10-07,1,9,1240.0,0.0,0.0,0.0,32218.8,0.0,31802.8,0.0,100.0,0.0,25476.0,0.0,100.0,0.0,256772.252127,100.0,NA,0.0,314160.892838,1.178,0.0,0.0
1981-10-21,1,10,1360.0,0.0,0.0,120.0,32098.8,0.0,31802.8,0.0,100.0,0.0,25476.0,0.0,100.0,0.0,247611.41315,100.0,NA,0.0,302989.137988,18.3208571429,0.0,0.0
1981-11-04,1,11,1480.0,0.0,0.0,120.0,31978.8,0.0,31802.8,0.0,100.0,0.0,25356.0,0.0,100.0,0.0,247415.767879,100.0,NA,0.0,302750.546194,18.3208571429,0.0,0.0
1981-11-18,1,12,1600.0,0.0,0.0,120.0,31858.8,0.0,31802.8,0.0,100.0,0.0,25236.0,0.0,100.0,0.0,245913.412413,100.0,NA,0.0,300918.405382,18.3208571429,0.0,0.0
1981-11-25,1,13,1720.0,0.0,0.0,120.0,31738.8,0.0,31802.8,0.0,100.0,0.0,25116.0,0.0,100.0,0.0,244516.940785,100.0,NA,0.0,299215.391201,18.3208571429,0.0,0.0
1981-12-02,1,14,1720.0,0.0,0.0,0.0,31738.8,0.0,31802.8,0.0,100.0,0.0,24996.0,0.0,100.0,0.0,243146.19249,100.0,NA,0.0,297543.746939,1.178,0.0,0.0
1981-12-16,1,15,1720.0,0.0,0.0,0.0,31738.8,0.0,31802.8,0.0,100.0,0.0,24996.0,0.0,100.0,0.0,239598.572962,100.0,NA,0.0,293217.381661,1.178,0.0,0.0
1981-12-30,1,16,1720.0,0.0,0.0,0.0,31738.8,0.0,31802.8,0.0,100.0,0.0,24996.0,0.0,100.0,0.0,234355.266223,100.0,NA,0.0,286823.10515,1.178,0.0,0.0
